"mmsi";"poly1"
231201000;"id_iso_99_1"
231711000;"id_iso_99_1"
273312270;"id_iso_99_2"
273523100;"id_iso_99_2"
273213500;"id_iso_99_2"
273431440;"id_iso_99_2"
273212110;"id_iso_99_2"
273430750;"id_iso_99_2"
273555000;"id_iso_99_2"
13070981;"id_iso_99_2"
273554600;"id_iso_99_2"
231766000;"id_iso_99_3"
309325000;"id_iso_99_3"
982570211;"id_iso_99_4"
331072000;"id_iso_99_5"
231766000;"id_iso_99_5"
235073404;"id_iso_99_5"
982590500;"id_iso_99_5"
231201000;"id_iso_99_5"
273213500;"id_iso_99_5"
273312270;"id_iso_99_5"
273527500;"id_iso_99_5"
273355290;"id_iso_99_5"
266258000;"id_iso_99_5"
231209000;"id_iso_99_5"
231711000;"id_iso_99_5"
273333970;"id_iso_99_5"
231770000;"id_iso_99_5"
273212110;"id_iso_99_5"
231208000;"id_iso_99_5"
273354820;"id_iso_99_5"
273523100;"id_iso_99_5"
273311280;"id_iso_99_5"
231763000;"id_iso_99_5"
231774000;"id_iso_99_5"
305210000;"id_iso_99_5"
273350610;"id_iso_99_5"
982590400;"id_iso_99_5"
982590401;"id_iso_99_5"
249985000;"id_iso_99_6"
331072000;"id_iso_99_6"
305846000;"id_iso_99_6"
312206000;"id_iso_99_6"
273317270;"id_iso_99_6"
304882000;"id_iso_99_6"
982570211;"id_iso_99_6"
982590500;"id_iso_99_6"
311367000;"id_iso_99_6"
273297800;"id_iso_99_6"
273355290;"id_iso_99_6"
273447010;"id_iso_99_6"
273312270;"id_iso_99_6"
273316960;"id_iso_99_6"
273451570;"id_iso_99_6"
305081000;"id_iso_99_6"
325350000;"id_iso_99_6"
231766000;"id_iso_99_6"
273210800;"id_iso_99_6"
273213500;"id_iso_99_6"
273430750;"id_iso_99_6"
314318000;"id_iso_99_6"
341959000;"id_iso_99_6"
273332880;"id_iso_99_6"
273527500;"id_iso_99_6"
219392000;"id_iso_99_6"
249689000;"id_iso_99_6"
231107000;"id_iso_99_6"
273212110;"id_iso_99_6"
0;"id_iso_99_6"
231053000;"id_iso_99_6"
273523100;"id_iso_99_6"
273845800;"id_iso_99_6"
982582360;"id_iso_99_6"
982590501;"id_iso_99_6"
231209000;"id_iso_99_6"
309325000;"id_iso_99_6"
982570692;"id_iso_99_6"
273350610;"id_iso_99_6"
308036000;"id_iso_99_6"
231711000;"id_iso_99_6"
273552400;"id_iso_99_6"
305082000;"id_iso_99_6"
982582361;"id_iso_99_6"
273311280;"id_iso_99_6"
273539800;"id_iso_99_6"
341891000;"id_iso_99_6"
273448120;"id_iso_99_6"
273333970;"id_iso_99_6"
273841710;"id_iso_99_6"
351364000;"id_iso_99_6"
992572116;"id_iso_99_6"
231208000;"id_iso_99_6"
273450850;"id_iso_99_6"
231201000;"id_iso_99_6"
273298600;"id_iso_99_6"
305844000;"id_iso_99_6"
273241100;"id_iso_99_6"
312930000;"id_iso_99_6"
210032000;"id_iso_99_6"
273817400;"id_iso_99_6"
273555000;"id_iso_99_6"
228016600;"id_iso_99_6"
231763000;"id_iso_99_6"
982593171;"id_iso_99_6"
231774000;"id_iso_99_6"
273351680;"id_iso_99_6"
273433400;"id_iso_99_6"
311988000;"id_iso_99_6"
331208000;"id_iso_99_6"
982590400;"id_iso_99_6"
982590401;"id_iso_99_6"
273298600;"id_iso_99_7"
331072000;"id_iso_99_8"
273333970;"id_iso_99_8"
227534070;"id_iso_99_9"
331072000;"id_iso_99_9"
305846000;"id_iso_99_9"
325350000;"id_iso_99_9"
341891000;"id_iso_99_9"
305844000;"id_iso_99_9"
331072000;"id_iso_99_10"
273213500;"id_iso_99_10"
304882000;"id_iso_99_11"
314318000;"id_iso_99_11"
305846000;"id_iso_99_11"
